scenario,method,method_label,n_runs,targets_successful,targets_attempted,target_success_pct,target_success_ci95_low,target_success_ci95_high,missions_completed,mission_completion_pct,mission_completion_ci95_low,mission_completion_ci95_high,returned_home_runs,return_home_pct,return_home_ci95_low,return_home_ci95_high,collision_count_mean,actual_path_m_mean,actual_path_m_sd,actual_path_m_ci95_low,actual_path_m_ci95_high,actual_path_m_n,navigation_time_s_mean,navigation_time_s_sd,navigation_time_s_ci95_low,navigation_time_s_ci95_high,navigation_time_s_n,approach_error_m_mean,approach_error_m_sd,approach_error_m_ci95_low,approach_error_m_ci95_high,approach_error_m_n,planning_time_s_mean,planning_time_s_sd,planning_time_s_ci95_low,planning_time_s_ci95_high,planning_time_s_n,replans_per_run_mean,replans_per_run_sd,replans_per_run_ci95_low,replans_per_run_ci95_high,replans_per_run_n,recoveries_per_run_mean,recoveries_per_run_sd,recoveries_per_run_ci95_low,recoveries_per_run_ci95_high,recoveries_per_run_n,attempts_per_target_mean,attempts_per_target_sd,attempts_per_target_ci95_low,attempts_per_target_ci95_high,attempts_per_target_n,candidate_checks_per_run_mean,candidate_checks_per_run_sd,candidate_checks_per_run_ci95_low,candidate_checks_per_run_ci95_high,candidate_checks_per_run_n
S1,B1,Direct-to-target,10,25,30,83.33333333333334,73.33333333333333,93.33333333333334,3,30.0,10.7791267406301,60.322185253885465,8,80.0,49.01624715366418,94.33178485456249,0.0,7.4705509891575534,0.1622027590929134,7.354526186626888,7.586575791688219,10,36.45333333333333,6.450814859045253,31.83901897537673,41.067647691289935,10,1.0972832882954573,0.0231919214975028,1.080693939710375,1.1138726368805396,10,,,,,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,10
S1,B2,Single-candidate,10,0,30,0.0,0.0,0.0,0,0.0,0.0,27.75327998628892,7,70.0,39.677814746114535,89.2208732593699,0.0,9.059791607588515,0.9664624906232524,8.368474023011395,9.75110919216564,10,,,,,0,,,,,0,0.2496604909523739,0.0439713792545346,0.2182074464817434,0.2811135354230044,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,10,3.0,0.0,3.0,3.0,10
S1,B3,No persistent management,10,19,30,63.333333333333336,46.66666666666667,80.0,1,10.0,1.7876213095072897,40.41500267952385,3,30.0,10.7791267406301,60.322185253885465,0.0,7.763266106942353,2.5428657588774484,5.944335903870142,9.582196310014565,10,8.29666666666667,10.088307007204182,1.0804279607078795,15.51290537262546,10,1.1125312815749084,0.0224070174737589,1.0965033804946016,1.1285591826552153,10,1.6385445633253162,2.109821940307236,0.129373724506294,3.147715402144338,10,4.5,1.9578900207451215,3.0995071581760945,5.9004928418239055,10,1.2,1.2292725943057183,0.3206924542573286,2.0793075457426715,10,2.2333333333333334,0.4172218523448575,1.9348915355457803,2.5317751311208863,10,96.0,0.0,96.0,96.0,10
S1,P,Proposed (PSAC-MM),10,26,30,86.66666666666666,76.66666666666666,96.66666666666667,1,10.0,1.7876213095072897,40.41500267952385,2,20.0,5.668215145437519,50.98375284633583,0.0,9.184593204218247,0.8953830437787867,8.54411926021936,9.825067148217135,10,10.226666666666668,5.289094300399504,6.443339396515873,14.009993936817462,10,1.112452978661241,0.0090744838245998,1.105961934984149,1.118944022338333,10,1.520319795817583,1.7686280924897968,0.2552073752343435,2.7854322164008223,10,5.3,3.0930028559098792,3.087552766730921,7.512447233269079,10,2.5,3.027650354097492,0.3342998822551632,4.665700117744837,10,2.033333333333333,0.1892154040658488,1.897986191180686,2.1686804754859805,10,131.2,43.85025022100152,99.8336,162.5664,10
S2,B1,Direct-to-target,10,14,30,46.666666666666664,33.33333333333333,66.66666666666667,2,20.0,5.668215145437519,50.98375284633583,2,20.0,5.668215145437519,50.98375284633583,0.0,3.019099273483417,4.163397418864999,0.0409910952878398,5.997207451678995,10,16.839999999999996,15.291898928501526,5.901594491854754,27.77840550814524,10,1.0866267000116423,0.0169564394864968,1.0744976366464685,1.098755763376816,10,,,,,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,10
S2,B2,Single-candidate,10,0,30,0.0,0.0,0.0,0,0.0,0.0,27.75327998628892,0,0.0,0.0,27.75327998628892,0.0,7.0188897305779365,0.1589055049539509,6.905223477695292,7.132555983460581,10,,,,,0,,,,,0,0.2376415551509125,0.0127318956181953,0.2285343384598822,0.2467487718419429,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,10,3.0,0.0,3.0,3.0,10
S2,B3,No persistent management,10,30,30,100.0,100.0,100.0,10,100.0,72.24672001371107,100.0,10,100.0,72.24672001371107,100.0,0.0,10.76049752132013,0.0262688155756038,10.741707248226636,10.779287794413625,10,4.253333333333332,0.4664549784422707,3.919674725638449,4.586991941028216,10,1.115206410660257,0.0087834843308511,1.1089235210181985,1.1214893003023156,10,0.0502268302661832,0.001818989100282,0.0489256942537879,0.0515279662785784,10,3.9,0.3162277660168379,3.6738,4.1262,10,0.0,0.0,0.0,0.0,10,2.3,0.1054092553389458,2.2246,2.3754,10,96.0,0.0,96.0,96.0,10
S2,P,Proposed (PSAC-MM),10,30,30,100.0,100.0,100.0,9,90.0,59.58499732047615,98.21237869049271,9,90.0,59.58499732047615,98.21237869049271,0.0,10.765407541818504,0.021671822923625,10.749905530698255,10.780909552938752,10,3.930000000000001,0.3447847781005931,3.6833729634538126,4.176627036546189,10,1.113507052190391,0.0103865011826923,1.1060775130417004,1.1209365913390814,10,0.0507687666337005,0.0031052461674661,0.048547561671441,0.05298997159596,10,3.9,0.3162277660168379,3.6738,4.1262,10,0.0,0.0,0.0,0.0,10,2.3,0.1054092553389458,2.2246,2.3754,10,99.2,10.119288512538814,91.9616,106.4384,10
S3,B1,Direct-to-target,10,14,30,46.666666666666664,33.33333333333333,66.66666666666667,0,0.0,0.0,27.75327998628892,0,0.0,0.0,27.75327998628892,0.0,3.038213837195633,4.153294725451758,0.0673321884059312,6.009095485985336,10,16.956666666666663,15.435465415483677,5.915567015738169,27.99776631759516,10,1.087072253848423,0.022212480422604,1.0711835065227833,1.1029610011740627,10,,,,,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,10
S3,B2,Single-candidate,10,0,30,0.0,0.0,0.0,0,0.0,0.0,27.75327998628892,6,60.0,31.267376973365824,83.18196702937638,0.0,2.963658862193251,0.0217776873634318,2.948081125476273,2.9792365989102287,10,,,,,0,,,,,0,0.2123009894043207,0.0061744119608269,0.2078843880314207,0.2167175907772206,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,10,3.0,0.0,3.0,3.0,10
