scenario,method,n_runs,actual_path_m_mean,actual_path_m_sd,actual_path_m_ci95_low,actual_path_m_ci95_high,navigation_time_s_mean,navigation_time_s_sd,navigation_time_s_ci95_low,navigation_time_s_ci95_high,approach_error_m_mean,approach_error_m_sd,approach_error_m_ci95_low,approach_error_m_ci95_high
S1,B1,10,7.4705509891575534,0.16220275909291346,7.354526186626888,7.586575791688219,36.45333333333333,6.450814859045253,31.83901897537673,41.067647691289935,1.0972832882954573,0.02319192149750282,1.080693939710375,1.1138726368805396
S1,B2,10,9.059791607588517,0.9664624906232524,8.368474023011395,9.75110919216564,,,,,,,,
S1,B3,10,7.763266106942353,2.5428657588774484,5.944335903870142,9.582196310014565,8.29666666666667,10.088307007204182,1.0804279607078797,15.512905372625461,1.1125312815749084,0.022407017473758967,1.0965033804946016,1.1285591826552153
S1,P,10,9.184593204218247,0.8953830437787867,8.54411926021936,9.825067148217135,10.226666666666668,5.289094300399504,6.443339396515873,14.009993936817462,1.112452978661241,0.009074483824599888,1.105961934984149,1.118944022338333
S2,B1,10,3.0190992734834174,4.1633974188649985,0.04099109528783984,5.997207451678995,16.839999999999996,15.291898928501526,5.901594491854754,27.77840550814524,1.0866267000116423,0.016956439486496867,1.0744976366464685,1.0987557633768161
S2,B2,10,7.0188897305779365,0.15890550495395092,6.905223477695292,7.132555983460581,,,,,,,,
S2,B3,10,10.76049752132013,0.02626881557560382,10.741707248226636,10.779287794413623,4.253333333333332,0.4664549784422707,3.9196747256384485,4.586991941028216,1.115206410660257,0.00878348433085116,1.1089235210181985,1.1214893003023156
S2,P,10,10.765407541818504,0.021671822923625076,10.749905530698257,10.780909552938752,3.930000000000001,0.3447847781005931,3.6833729634538126,4.176627036546189,1.113507052190391,0.01038650118269239,1.1060775130417004,1.1209365913390814
S3,B1,10,3.0382138371956335,4.153294725451758,0.06733218840593125,6.009095485985336,16.956666666666663,15.435465415483675,5.915567015738169,27.997766317595158,1.087072253848423,0.02221248042260408,1.0711835065227833,1.1029610011740627
S3,B2,10,2.963658862193251,0.02177768736343184,2.9480811254762735,2.9792365989102287,,,,,,,,
S3,B3,10,5.587604075874,1.8939371504274498,4.2328571830794,6.942350968668601,6.375000000000002,8.033445711523793,0.6286183876721179,12.121381612327886,1.1163149069188898,0.013335106660955186,1.106776209021794,1.1258536048159855
S3,P,10,10.182519818409906,2.203413595785676,8.606402193937356,11.758637442882456,3.123333333333332,0.7375384484641901,2.5957667659063697,3.6508999007602947,1.1200127522821144,0.007996926019419079,1.1142924934687366,1.1257330110954922
