scenario,method,n_runs,planning_time_s_mean,planning_time_s_sd,replans_per_run_mean,replans_per_run_sd,recoveries_per_run_mean,recoveries_per_run_sd,attempts_per_target_mean,attempts_per_target_sd,candidate_checks_per_run_mean,candidate_checks_per_run_sd
S1,B1,10,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S1,B2,10,0.24966049095237394,0.04397137925453461,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
S1,B3,10,1.6385445633253162,2.109821940307236,4.5,1.9578900207451218,1.2,1.2292725943057183,2.2333333333333334,0.4172218523448575,96.0,0.0
S1,P,10,1.520319795817583,1.7686280924897968,5.3,3.0930028559098792,2.5,3.0276503540974917,2.033333333333333,0.1892154040658488,131.2,43.850250221001524
S2,B1,10,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S2,B2,10,0.23764155515091256,0.012731895618195353,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
S2,B3,10,0.0502268302661832,0.0018189891002820824,3.9,0.31622776601683794,0.0,0.0,2.3,0.10540925533894589,96.0,0.0
S2,P,10,0.05076876663370054,0.0031052461674661394,3.9,0.31622776601683794,0.0,0.0,2.3,0.10540925533894589,99.2,10.119288512538814
S3,B1,10,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S3,B2,10,0.2123009894043207,0.006174411960826935,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
S3,B3,10,0.9180426537311479,1.1561110979074654,3.1,0.5676462121975466,0.0,0.0,2.033333333333333,0.1892154040658488,96.0,0.0
S3,P,10,0.062310014264464045,0.027528308438127674,4.9,1.1972189997378646,0.0,0.0,2.533333333333333,0.17213259316477417,131.2,10.119288512538814
