run_id,scenario,method,seed,targets_successful,targets_attempted,run_success_pct
P2_S1_B1_seed1001,S1,B1,1001,3,3,100.0
P2_S1_B1_seed1002,S1,B1,1002,2,3,66.66666666666667
P2_S1_B1_seed1003,S1,B1,1003,3,3,100.0
P2_S1_B1_seed1004,S1,B1,1004,2,3,66.66666666666667
P2_S1_B1_seed1005,S1,B1,1005,2,3,66.66666666666667
P2_S1_B1_seed1006,S1,B1,1006,2,3,66.66666666666667
P2_S1_B1_seed1007,S1,B1,1007,3,3,100.0
P2_S1_B1_seed1008,S1,B1,1008,3,3,100.0
P2_S1_B1_seed1009,S1,B1,1009,3,3,100.0
P2_S1_B1_seed1010,S1,B1,1010,2,3,66.66666666666667
P2_S1_B2_seed1001,S1,B2,1001,0,3,0.0
P2_S1_B2_seed1002,S1,B2,1002,0,3,0.0
P2_S1_B2_seed1003,S1,B2,1003,0,3,0.0
P2_S1_B2_seed1004,S1,B2,1004,0,3,0.0
P2_S1_B2_seed1005,S1,B2,1005,0,3,0.0
P2_S1_B2_seed1006,S1,B2,1006,0,3,0.0
P2_S1_B2_seed1007,S1,B2,1007,0,3,0.0
P2_S1_B2_seed1008,S1,B2,1008,0,3,0.0
P2_S1_B2_seed1009,S1,B2,1009,0,3,0.0
P2_S1_B2_seed1010,S1,B2,1010,0,3,0.0
P2_S1_B3_seed1001,S1,B3,1001,1,3,33.333333333333336
P2_S1_B3_seed1002,S1,B3,1002,3,3,100.0
P2_S1_B3_seed1003,S1,B3,1003,2,3,66.66666666666667
P2_S1_B3_seed1004,S1,B3,1004,1,3,33.333333333333336
P2_S1_B3_seed1005,S1,B3,1005,3,3,100.0
P2_S1_B3_seed1006,S1,B3,1006,2,3,66.66666666666667
P2_S1_B3_seed1007,S1,B3,1007,3,3,100.0
P2_S1_B3_seed1008,S1,B3,1008,1,3,33.333333333333336
P2_S1_B3_seed1009,S1,B3,1009,1,3,33.333333333333336
P2_S1_B3_seed1010,S1,B3,1010,2,3,66.66666666666667
P2_S1_P_seed1001,S1,P,1001,3,3,100.0
P2_S1_P_seed1002,S1,P,1002,3,3,100.0
P2_S1_P_seed1003,S1,P,1003,2,3,66.66666666666667
P2_S1_P_seed1004,S1,P,1004,3,3,100.0
P2_S1_P_seed1005,S1,P,1005,3,3,100.0
P2_S1_P_seed1006,S1,P,1006,3,3,100.0
P2_S1_P_seed1007,S1,P,1007,2,3,66.66666666666667
P2_S1_P_seed1008,S1,P,1008,2,3,66.66666666666667
P2_S1_P_seed1009,S1,P,1009,3,3,100.0
P2_S1_P_seed1010,S1,P,1010,2,3,66.66666666666667
P2_S2_B1_seed1001,S2,B1,1001,1,3,33.333333333333336
P2_S2_B1_seed1002,S2,B1,1002,3,3,100.0
P2_S2_B1_seed1003,S2,B1,1003,1,3,33.333333333333336
P2_S2_B1_seed1004,S2,B1,1004,3,3,100.0
P2_S2_B1_seed1005,S2,B1,1005,1,3,33.333333333333336
P2_S2_B1_seed1006,S2,B1,1006,1,3,33.333333333333336
P2_S2_B1_seed1007,S2,B1,1007,1,3,33.333333333333336
P2_S2_B1_seed1008,S2,B1,1008,1,3,33.333333333333336
P2_S2_B1_seed1009,S2,B1,1009,1,3,33.333333333333336
P2_S2_B1_seed1010,S2,B1,1010,1,3,33.333333333333336
P2_S2_B2_seed1001,S2,B2,1001,0,3,0.0
P2_S2_B2_seed1002,S2,B2,1002,0,3,0.0
P2_S2_B2_seed1003,S2,B2,1003,0,3,0.0
P2_S2_B2_seed1004,S2,B2,1004,0,3,0.0
P2_S2_B2_seed1005,S2,B2,1005,0,3,0.0
P2_S2_B2_seed1006,S2,B2,1006,0,3,0.0
P2_S2_B2_seed1007,S2,B2,1007,0,3,0.0
P2_S2_B2_seed1008,S2,B2,1008,0,3,0.0
P2_S2_B2_seed1009,S2,B2,1009,0,3,0.0
P2_S2_B2_seed1010,S2,B2,1010,0,3,0.0
P2_S2_B3_seed1001,S2,B3,1001,3,3,100.0
P2_S2_B3_seed1002,S2,B3,1002,3,3,100.0
P2_S2_B3_seed1003,S2,B3,1003,3,3,100.0
P2_S2_B3_seed1004,S2,B3,1004,3,3,100.0
P2_S2_B3_seed1005,S2,B3,1005,3,3,100.0
P2_S2_B3_seed1006,S2,B3,1006,3,3,100.0
P2_S2_B3_seed1007,S2,B3,1007,3,3,100.0
P2_S2_B3_seed1008,S2,B3,1008,3,3,100.0
P2_S2_B3_seed1009,S2,B3,1009,3,3,100.0
P2_S2_B3_seed1010,S2,B3,1010,3,3,100.0
P2_S2_P_seed1001,S2,P,1001,3,3,100.0
P2_S2_P_seed1002,S2,P,1002,3,3,100.0
P2_S2_P_seed1003,S2,P,1003,3,3,100.0
P2_S2_P_seed1004,S2,P,1004,3,3,100.0
P2_S2_P_seed1005,S2,P,1005,3,3,100.0
P2_S2_P_seed1006,S2,P,1006,3,3,100.0
P2_S2_P_seed1007,S2,P,1007,3,3,100.0
P2_S2_P_seed1008,S2,P,1008,3,3,100.0
P2_S2_P_seed1009,S2,P,1009,3,3,100.0
P2_S2_P_seed1010,S2,P,1010,3,3,100.0
P2_S3_B1_seed1001,S3,B1,1001,1,3,33.333333333333336
P2_S3_B1_seed1002,S3,B1,1002,1,3,33.333333333333336
P2_S3_B1_seed1003,S3,B1,1003,3,3,100.0
P2_S3_B1_seed1004,S3,B1,1004,1,3,33.333333333333336
P2_S3_B1_seed1005,S3,B1,1005,3,3,100.0
P2_S3_B1_seed1006,S3,B1,1006,1,3,33.333333333333336
