run_id,scenario,method,target_id,attempt,candidate_id,angle_deg,radius_m,x,y,nav_precheck_safe,uav_safe,planner_feasible,path_length_m,planning_time_s,rejected_reason,selected
P2_S1_B2_seed1001,S1,B2,"plant@(2.000,3.000)",1,single_r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.21515399400959723,,1
P2_S1_B2_seed1001,S1,B2,"plant@(12.000,2.000)",1,single_r1.00_a180,180,1.0,11.0,2.0,False,True,False,,0.2616229569830466,nav2_planner_no_path,0
P2_S1_B2_seed1001,S1,B2,"plant@(15.000,5.000)",1,single_r1.00_a180,180,1.0,14.0,5.0,True,True,True,16.340931730284208,0.2834682819957379,,1
P2_S1_B2_seed1002,S1,B2,"plant@(2.000,3.000)",1,single_r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.2504028340044897,,1
P2_S1_B2_seed1002,S1,B2,"plant@(12.000,2.000)",1,single_r1.00_a180,180,1.0,11.0,2.0,False,True,False,,0.2812985010095872,nav2_planner_no_path,0
P2_S1_B2_seed1002,S1,B2,"plant@(15.000,5.000)",1,single_r1.00_a180,180,1.0,14.0,5.0,True,True,True,16.31981785748131,0.2554703150235582,,1
P2_S1_B2_seed1003,S1,B2,"plant@(2.000,3.000)",1,single_r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.35101677500642836,,1
P2_S1_B2_seed1003,S1,B2,"plant@(12.000,2.000)",1,single_r1.00_a180,180,1.0,11.0,2.0,False,True,False,,0.4241991860035341,nav2_planner_no_path,0
P2_S1_B2_seed1003,S1,B2,"plant@(15.000,5.000)",1,single_r1.00_a180,180,1.0,14.0,5.0,True,True,True,16.31981785748131,0.39129052800126374,,1
P2_S1_B2_seed1004,S1,B2,"plant@(2.000,3.000)",1,single_r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.21104923001257703,,1
P2_S1_B2_seed1004,S1,B2,"plant@(12.000,2.000)",1,single_r1.00_a180,180,1.0,11.0,2.0,False,True,False,,0.22518206998938695,nav2_planner_no_path,0
P2_S1_B2_seed1004,S1,B2,"plant@(15.000,5.000)",1,single_r1.00_a180,180,1.0,14.0,5.0,True,True,True,16.340931730284208,0.2501183899876196,,1
P2_S1_B2_seed1005,S1,B2,"plant@(2.000,3.000)",1,single_r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.20915348999551497,,1
P2_S1_B2_seed1005,S1,B2,"plant@(12.000,2.000)",1,single_r1.00_a180,180,1.0,11.0,2.0,False,True,False,,0.2601312579936348,nav2_planner_no_path,0
P2_S1_B2_seed1005,S1,B2,"plant@(15.000,5.000)",1,single_r1.00_a180,180,1.0,14.0,5.0,True,True,True,16.31981785748131,0.25245002598967403,,1
P2_S1_B2_seed1006,S1,B2,"plant@(2.000,3.000)",1,single_r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.20445882598869503,,1
