event,count
navigation_progress,38643
candidate_checked,6586
localization_check,849
goal_accepted,700
return_home_start_check,464
candidate_selected,459
cancel_requested,402
cancel_terminal,402
recovery_suppressed,391
target_received,360
target_queued,360
target_selected,360
target_reached,306
return_home_plan,299
replan,256
treatment_completed,208
return_home_stage,158
target_failed,152
mission_end,120
return_home_end,120
mission_start,120
return_home_start,120
dynamic_obstacle_wait,92
obstacle_detected,76
dynamic_obstacle_persistent,70
recovery_started,63
recovery_completed,63
replan_suppressed,50
dynamic_obstacle_cleared,22
