scenario,method,method_label,n_runs,mission_completion_pct,target_success_pct,path_length_m_mean,path_length_m_sd,path_length_m_n,actual_path_length_m_mean,actual_path_length_m_sd,actual_path_length_m_n,navigation_time_s_mean,navigation_time_s_sd,navigation_time_s_n,approach_error_m_mean,approach_error_m_sd,approach_error_m_n,planning_time_s_mean,planning_time_s_sd,planning_time_s_n,replans_per_run_mean,replans_per_run_sd,replans_per_run_n,recoveries_per_run_mean,recoveries_per_run_sd,recoveries_per_run_n,attempts_per_target_mean,attempts_per_target_sd,attempts_per_target_n
S1,B1,Direct-to-target,10,30.0,83.33333333333333,,,0,7.4705509891575534,0.16220275909291346,10,36.45333333333333,6.450814859045253,10,1.0972832882954573,0.02319192149750282,10,,,0,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
S1,B2,Single-candidate,10,0.0,0.0,9.750124984375987,0.005563994023686319,10,9.059791607588517,0.9664624906232523,10,,,0,,,0,0.24966049095237394,0.04397137925453461,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
S1,B3,Sequential / No Persistent Target Management,10,10.0,63.333333333333336,6.063664626399792,2.3428517241006324,10,7.763266106942353,2.5428657588774484,10,8.29666666666667,10.088307007204182,10,1.1125312815749084,0.02240701747375893,10,1.638544563325316,2.109821940307236,10,4.5,1.9578900207451218,10,1.2,1.2292725943057183,10,2.2333333333333334,0.4172218523448575,10
S1,P,Proposed,10,10.0,86.66666666666667,3.081709781599334,1.7719517345824842,10,9.184593204218247,0.8953830437787867,10,10.226666666666668,5.289094300399504,10,1.112452978661241,0.009074483824599886,10,1.520319795817583,1.7686280924897968,10,5.3,3.0930028559098792,10,2.5,3.0276503540974917,10,2.0333333333333337,0.18921540406584894,10
S2,B1,Direct-to-target,10,20.0,46.666666666666664,,,0,3.019099273483417,4.1633974188649985,10,16.839999999999996,15.291898928501528,10,1.0866267000116425,0.01695643948649687,10,,,0,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
S2,B2,Single-candidate,10,0.0,0.0,6.804410145190433,0.013925163286016404,10,7.0188897305779365,0.15890550495395092,10,,,0,,,0,0.23764155515091262,0.012731895618195337,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
S2,B3,Sequential / No Persistent Target Management,10,100.0,100.0,0.5835244080805603,0.010559395825052244,10,10.76049752132013,0.026268815575603916,10,4.253333333333332,0.46645497844227063,10,1.115206410660257,0.008783484330851136,10,0.05022683026618324,0.0018189891002820732,10,3.9,0.31622776601683794,10,0.0,0.0,10,2.3,0.10540925533894602,10
S2,P,Proposed,10,90.0,100.0,0.5807032121106054,0.009362350973577701,10,10.765407541818503,0.021671822923625225,10,3.9300000000000006,0.34478477810059316,10,1.113507052190391,0.010386501182692414,10,0.05076876663370058,0.0031052461674661424,10,3.9,0.31622776601683794,10,0.0,0.0,10,2.3,0.10540925533894602,10
S3,B1,Direct-to-target,10,0.0,46.666666666666664,,,0,3.0382138371956335,4.153294725451758,10,16.956666666666667,15.435465415483673,10,1.087072253848423,0.022212480422604063,10,,,0,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
S3,B2,Single-candidate,10,0.0,0.0,3.169875174869212,0.0,10,2.963658862193251,0.021777687363431858,10,,,0,,,0,0.2123009894043207,0.006174411960826922,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
S3,B3,Sequential / No Persistent Target Management,10,0.0,70.0,3.4231577793478403,3.626379321945197,10,5.587604075874,1.8939371504274505,10,6.375000000000002,8.033445711523793,10,1.1163149069188898,0.0133351066609552,10,0.9180426537311479,1.1561110979074654,10,3.1,0.5676462121975466,10,0.0,0.0,10,2.0333333333333337,0.18921540406584894,10
S3,P,Proposed,10,20.0,96.66666666666667,1.32662699870478,2.2439344044575313,10,10.182519818409906,2.2034135957856766,10,3.123333333333332,0.73753844846419,10,1.1200127522821144,0.007996926019419067,10,0.062310014264464066,0.02752830843812768,10,4.9,1.1972189997378646,10,0.0,0.0,10,2.533333333333333,0.17213259316477394,10
