Scenario,Method,n,"Target success, % [95% CI]",Successful/attempted targets,"Mission completion, % [95% CI]","Return-home, % [95% CI]",Mean collisions/run
S1,B1,10,"83.33 [73.33, 93.33]",25/30,"30.00 [10.78, 60.32]","80.00 [49.02, 94.33]",0.00
S1,B2,10,"0.00 [0.00, 0.00]",0/30,"0.00 [0.00, 27.75]","70.00 [39.68, 89.22]",0.00
S1,B3,10,"63.33 [46.67, 80.00]",19/30,"10.00 [1.79, 40.42]","30.00 [10.78, 60.32]",0.00
S1,P,10,"86.67 [76.67, 96.67]",26/30,"10.00 [1.79, 40.42]","20.00 [5.67, 50.98]",0.00
S2,B1,10,"46.67 [33.33, 66.67]",14/30,"20.00 [5.67, 50.98]","20.00 [5.67, 50.98]",0.00
S2,B2,10,"0.00 [0.00, 0.00]",0/30,"0.00 [0.00, 27.75]","0.00 [0.00, 27.75]",0.00
S2,B3,10,"100.00 [100.00, 100.00]",30/30,"100.00 [72.25, 100.00]","100.00 [72.25, 100.00]",0.00
S2,P,10,"100.00 [100.00, 100.00]",30/30,"90.00 [59.58, 98.21]","90.00 [59.58, 98.21]",0.00
S3,B1,10,"46.67 [33.33, 66.67]",14/30,"0.00 [0.00, 27.75]","0.00 [0.00, 27.75]",0.00
S3,B2,10,"0.00 [0.00, 0.00]",0/30,"0.00 [0.00, 27.75]","60.00 [31.27, 83.18]",0.00
S3,B3,10,"70.00 [66.67, 76.67]",21/30,"0.00 [0.00, 27.75]","10.00 [1.79, 40.42]",0.00
S3,P,10,"96.67 [90.00, 100.00]",29/30,"20.00 [5.67, 50.98]","20.00 [5.67, 50.98]",0.00
