Scenario,Method,n,"Actual path, m","Navigation time, s","Approach error, m"
S1,B1,10,"7.47 ± 0.16 [7.35, 7.59]","36.45 ± 6.45 [31.84, 41.07]","1.10 ± 0.02 [1.08, 1.11]"
S1,B2,10,"9.06 ± 0.97 [8.37, 9.75]",N/A,N/A
S1,B3,10,"7.76 ± 2.54 [5.94, 9.58]","8.30 ± 10.09 [1.08, 15.51]","1.11 ± 0.02 [1.10, 1.13]"
S1,P,10,"9.18 ± 0.90 [8.54, 9.83]","10.23 ± 5.29 [6.44, 14.01]","1.11 ± 0.01 [1.11, 1.12]"
S2,B1,10,"3.02 ± 4.16 [0.04, 6.00]","16.84 ± 15.29 [5.90, 27.78]","1.09 ± 0.02 [1.07, 1.10]"
S2,B2,10,"7.02 ± 0.16 [6.91, 7.13]",N/A,N/A
S2,B3,10,"10.76 ± 0.03 [10.74, 10.78]","4.25 ± 0.47 [3.92, 4.59]","1.12 ± 0.01 [1.11, 1.12]"
S2,P,10,"10.77 ± 0.02 [10.75, 10.78]","3.93 ± 0.34 [3.68, 4.18]","1.11 ± 0.01 [1.11, 1.12]"
S3,B1,10,"3.04 ± 4.15 [0.07, 6.01]","16.96 ± 15.44 [5.92, 28.00]","1.09 ± 0.02 [1.07, 1.10]"
S3,B2,10,"2.96 ± 0.02 [2.95, 2.98]",N/A,N/A
S3,B3,10,"5.59 ± 1.89 [4.23, 6.94]","6.38 ± 8.03 [0.63, 12.12]","1.12 ± 0.01 [1.11, 1.13]"
S3,P,10,"10.18 ± 2.20 [8.61, 11.76]","3.12 ± 0.74 [2.60, 3.65]","1.12 ± 0.01 [1.11, 1.13]"
