Scenario,Method,n,"Planning time, s",Replans/run,Recoveries/run,Attempts/target,Candidate checks/run
S1,B1,10,N/A,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,0.00 ± 0.00
S1,B2,10,0.25 ± 0.04,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,3.00 ± 0.00
S1,B3,10,1.64 ± 2.11,4.50 ± 1.96,1.20 ± 1.23,2.23 ± 0.42,96.00 ± 0.00
S1,P,10,1.52 ± 1.77,5.30 ± 3.09,2.50 ± 3.03,2.03 ± 0.19,131.20 ± 43.85
S2,B1,10,N/A,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,0.00 ± 0.00
S2,B2,10,0.24 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,3.00 ± 0.00
S2,B3,10,0.05 ± 0.00,3.90 ± 0.32,0.00 ± 0.00,2.30 ± 0.11,96.00 ± 0.00
S2,P,10,0.05 ± 0.00,3.90 ± 0.32,0.00 ± 0.00,2.30 ± 0.11,99.20 ± 10.12
S3,B1,10,N/A,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,0.00 ± 0.00
S3,B2,10,0.21 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,3.00 ± 0.00
S3,B3,10,0.92 ± 1.16,3.10 ± 0.57,0.00 ± 0.00,2.03 ± 0.19,96.00 ± 0.00
S3,P,10,0.06 ± 0.03,4.90 ± 1.20,0.00 ± 0.00,2.53 ± 0.17,131.20 ± 10.12
