Scenario,Method,Paper 1 target success (%),Paper 2 target success (%),Target success change (pp),Paper 1 mission completion (%),Paper 2 mission completion (%),Mission completion change (pp)
S1,B1,66.67,83.33,+16.66,0.00,30.00,+30.00
S1,B2,0.00,0.00,+0.00,0.00,0.00,+0.00
S1,B3,22.22,63.33,+41.11,0.00,10.00,+10.00
S1,P,55.56,86.67,+31.11,0.00,10.00,+10.00
S2,B1,33.33,46.67,+13.34,0.00,20.00,+20.00
S2,B2,0.00,0.00,+0.00,0.00,0.00,+0.00
S2,B3,22.22,100.00,+77.78,0.00,100.00,+100.00
S2,P,77.78,100.00,+22.22,66.67,90.00,+23.33
S3,B1,22.22,46.67,+24.45,0.00,0.00,+0.00
S3,B2,11.11,0.00,-11.11,0.00,0.00,+0.00
S3,B3,44.44,70.00,+25.56,0.00,0.00,+0.00
S3,P,44.44,96.67,+52.23,0.00,20.00,+20.00
