scenario,method,n_runs,targets_successful,targets_attempted,target_success_pct,target_success_ci95_low,target_success_ci95_high,missions_completed,mission_completion_pct,mission_completion_ci95_low,mission_completion_ci95_high,returned_home_runs,return_home_pct,return_home_ci95_low,return_home_ci95_high,collision_count_mean
S1,B1,10,25,30,83.33333333333334,73.33333333333333,93.33333333333334,3,30.0,10.7791267406301,60.322185253885465,8,80.0,49.01624715366418,94.33178485456249,0.0
S1,B2,10,0,30,0.0,0.0,0.0,0,0.0,0.0,27.75327998628892,7,70.0,39.677814746114535,89.2208732593699,0.0
S1,B3,10,19,30,63.333333333333336,46.66666666666667,80.0,1,10.0,1.7876213095072897,40.41500267952385,3,30.0,10.7791267406301,60.322185253885465,0.0
S1,P,10,26,30,86.66666666666666,76.66666666666666,96.66666666666667,1,10.0,1.7876213095072897,40.41500267952385,2,20.0,5.668215145437519,50.98375284633583,0.0
S2,B1,10,14,30,46.666666666666664,33.33333333333333,66.66666666666667,2,20.0,5.668215145437519,50.98375284633583,2,20.0,5.668215145437519,50.98375284633583,0.0
S2,B2,10,0,30,0.0,0.0,0.0,0,0.0,0.0,27.75327998628892,0,0.0,0.0,27.75327998628892,0.0
S2,B3,10,30,30,100.0,100.0,100.0,10,100.0,72.24672001371107,100.0,10,100.0,72.24672001371107,100.0,0.0
S2,P,10,30,30,100.0,100.0,100.0,9,90.0,59.58499732047615,98.21237869049271,9,90.0,59.58499732047615,98.21237869049271,0.0
S3,B1,10,14,30,46.666666666666664,33.33333333333333,66.66666666666667,0,0.0,0.0,27.75327998628892,0,0.0,0.0,27.75327998628892,0.0
S3,B2,10,0,30,0.0,0.0,0.0,0,0.0,0.0,27.75327998628892,6,60.0,31.267376973365824,83.18196702937638,0.0
S3,B3,10,21,30,70.0,66.66666666666666,76.66666666666666,0,0.0,0.0,27.75327998628892,1,10.0,1.7876213095072897,40.41500267952385,0.0
S3,P,10,29,30,96.66666666666667,90.0,100.0,2,20.0,5.668215145437519,50.98375284633583,2,20.0,5.668215145437519,50.98375284633583,0.0
