PAPER 2 PUBLICATION RESULTS
==============================================================================

OVERALL RESULTS
method             method_label  n_runs  targets_successful  targets_attempted  target_success_pct  target_success_ci95_low  target_success_ci95_high  mission_completion_pct  mission_completion_ci95_low  mission_completion_ci95_high  return_home_pct  return_home_ci95_low  return_home_ci95_high  actual_path_m_mean  actual_path_m_sd  navigation_time_s_mean  navigation_time_s_sd  replans_per_run_mean  replans_per_run_sd  recoveries_per_run_mean  recoveries_per_run_sd
    B1         Direct-to-target      30                  53                 90              58.889                   48.563                    68.487                  16.667                        7.337                        33.564           33.333                19.230                 51.220               4.509             3.909                  23.417                15.727                 0.000               0.000                    0.000                  0.000
    B2         Single-candidate      30                   0                 90               0.000                    0.000                     4.094                   0.000                        0.000                        11.351           43.333                27.377                 60.803               6.347             2.634                     NaN                   NaN                 0.000               0.000                    0.000                  0.000
    B3 No persistent management      30                  70                 90              77.778                   68.153                    85.129                  36.667                       21.874                        54.486           46.667                30.232                 63.858               8.037             2.788                   6.308                 7.383                 3.833               1.289                    0.400                  0.894
     P       Proposed (PSAC-MM)      30                  85                 90              94.444                   87.646                    97.604                  40.000                       24.591                        57.680           43.333                27.377                 60.803              10.044             1.482                   5.760                 4.395                 4.700               1.950                    0.833                  2.069

PAPER 1 VS PAPER 2 PRIMARY COMPARISON
scenario method  paper1_target_success_pct  paper1_mission_completion_pct  n_runs  paper2_target_success_pct  paper2_mission_completion_pct  target_success_change_pp  mission_completion_change_pp
      S1     B1                      66.67                           0.00      10                      83.33                           30.0                     16.66                         30.00
      S1     B2                       0.00                           0.00      10                       0.00                            0.0                      0.00                          0.00
      S1     B3                      22.22                           0.00      10                      63.33                           10.0                     41.11                         10.00
      S1      P                      55.56                           0.00      10                      86.67                           10.0                     31.11                         10.00
      S2     B1                      33.33                           0.00      10                      46.67                           20.0                     13.34                         20.00
      S2     B2                       0.00                           0.00      10                       0.00                            0.0                      0.00                          0.00
      S2     B3                      22.22                           0.00      10                     100.00                          100.0                     77.78                        100.00
      S2      P                      77.78                          66.67      10                     100.00                           90.0                     22.22                         23.33
      S3     B1                      22.22                           0.00      10                      46.67                            0.0                     24.45                          0.00
      S3     B2                      11.11                           0.00      10                       0.00                            0.0                    -11.11                          0.00
      S3     B3                      44.44                           0.00      10                      70.00                            0.0                     25.56                          0.00
      S3      P                      44.44                           0.00      10                      96.67                           20.0                     52.23                         20.00
