order,scenario,method,seed,run_id
1,S1,P,1001,P2_S1_P_seed1001
2,S1,B2,1001,P2_S1_B2_seed1001
3,S1,B1,1001,P2_S1_B1_seed1001
4,S1,B3,1001,P2_S1_B3_seed1001
5,S1,B3,1002,P2_S1_B3_seed1002
6,S1,B1,1002,P2_S1_B1_seed1002
7,S1,B2,1002,P2_S1_B2_seed1002
8,S1,P,1002,P2_S1_P_seed1002
9,S1,B3,1003,P2_S1_B3_seed1003
10,S1,B1,1003,P2_S1_B1_seed1003
11,S1,B2,1003,P2_S1_B2_seed1003
12,S1,P,1003,P2_S1_P_seed1003
13,S1,B1,1004,P2_S1_B1_seed1004
14,S1,P,1004,P2_S1_P_seed1004
15,S1,B3,1004,P2_S1_B3_seed1004
16,S1,B2,1004,P2_S1_B2_seed1004
17,S1,B3,1005,P2_S1_B3_seed1005
18,S1,B1,1005,P2_S1_B1_seed1005
19,S1,B2,1005,P2_S1_B2_seed1005
20,S1,P,1005,P2_S1_P_seed1005
21,S1,B3,1006,P2_S1_B3_seed1006
22,S1,B2,1006,P2_S1_B2_seed1006
23,S1,P,1006,P2_S1_P_seed1006
24,S1,B1,1006,P2_S1_B1_seed1006
25,S1,B3,1007,P2_S1_B3_seed1007
26,S1,B2,1007,P2_S1_B2_seed1007
27,S1,B1,1007,P2_S1_B1_seed1007
28,S1,P,1007,P2_S1_P_seed1007
29,S1,B3,1008,P2_S1_B3_seed1008
30,S1,B1,1008,P2_S1_B1_seed1008
31,S1,B2,1008,P2_S1_B2_seed1008
32,S1,P,1008,P2_S1_P_seed1008
33,S1,B1,1009,P2_S1_B1_seed1009
34,S1,B2,1009,P2_S1_B2_seed1009
35,S1,P,1009,P2_S1_P_seed1009
36,S1,B3,1009,P2_S1_B3_seed1009
37,S1,P,1010,P2_S1_P_seed1010
38,S1,B1,1010,P2_S1_B1_seed1010
39,S1,B2,1010,P2_S1_B2_seed1010
40,S1,B3,1010,P2_S1_B3_seed1010
41,S2,B2,1001,P2_S2_B2_seed1001
42,S2,B1,1001,P2_S2_B1_seed1001
43,S2,B3,1001,P2_S2_B3_seed1001
